@relation R_data_frame

@attribute WeekDay string
@attribute Hour string
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceInfo string
@attribute MobileDeviceManuf string
@attribute visitNumber numeric
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
3,22,31-40,Android,he,'Huawei EVA-L09 P9 Standard Edition','Huawei ',2,2,(direct),(none),Direct,(none),MOBILE_WEB,125,6,0,1,0,0,0,0,0,0
2,1,21-30,iOS,en,'Apple iPhone','Apple ',26,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,506.428571,14.285714,0,1,0,1,0,0,0,0
3,8,31-40,iOS,he,'Apple iPhone','Apple ',4,4-5,google,cpc,'Paid Search','Yad2 - Brand+Product',MOBILE_WEB,149.25,5.75,0,1,0,0,0,0,0,0
3,14,31-40,iOS,he,'Apple iPhone','Apple ',829,51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,973.25,30,1,1,0,0,0,0,0,0
5,14,31-40,Android,he,'Sony D2303 Xperia M2','Sony ',29,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,938,21,0,1,0,0,0,0,0,0
2,16,01-10,Android,he,'Samsung SM-G920F Galaxy S6','Samsung ',1,1,metasearch.co.il,referral,Referral,(none),MOBILE_WEB,77,2,0,1,0,0,0,0,0,0
3,9,01-10,iOS,en,'Apple iPhone','Apple ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,267,2,0,1,0,0,0,1,1,0
1,18,51-60,Android,he,'Samsung SM-G925F Galaxy S6 Edge','Samsung ',38,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,223,8,0,1,0,0,0,0,0,0
5,14,11-20,iOS,he,'Apple iPhone','Apple ',238,51+,(direct),(none),Direct,(none),MOBILE_WEB,72,3,0,1,0,1,1,0,0,0
4,14,41-50,Android,he,'Samsung GT-I9300 Galaxy S III','Samsung ',68,51+,google,organic,'Organic Search',(none),MOBILE_WEB,705.5,17,0,1,0,1,0,0,0,0
7,14,11-20,iOS,he,'Apple iPhone','Apple ',27,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,419.333333,12.666667,0,1,0,1,0,0,0,0
