@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
4,10,51-60,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,219.5,3.5,0,1,0,0,0,0,0,0
4,12,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,219,5.333333,0,1,0,0,0,0,0,0
4,19,41-50,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,187.5,5.5,0,1,0,0,0,0,0,0
5,10,31-40,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,173.8,5.8,0,1,0,0,0,0,0,0
5,11,11-20,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,147.833333,5,0,0,0,0,0,0,0,0
5,17,41-50,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,877.857143,8.428571,0,1,0,0,0,0,0,0
6,4,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,779.25,8,0,1,0,0,0,0,0,0
6,7,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,696.777778,7.222222,0,1,0,0,0,0,0,0
6,9,11-20,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,847.4,8.9,0,1,0,0,0,0,0,0
6,11,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,913.454545,8.727273,0,1,0,0,0,0,0,0
6,12,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,841.083333,8.333333,0,1,0,0,0,0,0,0
6,12,51-60,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,819.846154,8.538462,0,1,0,0,0,0,0,0
6,18,11-20,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,834.642857,9.571429,0,1,0,0,0,0,0,0
6,19,51-60,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,976.266667,15.266667,0,1,0,0,0,0,0,0
7,12,51-60,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,923.5625,14.75,0,1,0,0,0,0,0,0
7,15,31-40,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,891,15.058824,0,1,0,1,0,0,0,0
7,20,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,911.166667,15.722222,0,1,0,0,0,0,0,0
1,8,51-60,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,866.894737,15.210526,0,1,0,0,0,0,0,0
1,9,31-40,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,828.55,14.8,0,1,0,0,0,0,0,0
1,11,31-40,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,801.333333,14.666667,0,1,0,0,0,0,0,0
1,13,01-10,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,766.318182,14.090909,0,1,0,0,0,0,0,0
1,16,51-60,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,736.956522,13.652174,0,1,0,0,0,0,0,0
2,4,41-50,Android,en,'LG ',51+,(direct),(none),Direct,(none),MOBILE_WEB,707.5,13.166667,0,1,0,0,0,0,0,0
2,9,41-50,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,683.16,12.96,0,1,0,0,0,0,0,0
2,16,21-30,Android,en,'LG ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,658.076923,12.538462,0,1,0,0,0,0,0,0
3,0,21-30,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_APP_IOS,858,62,1,0,0,0,0,0,0,0
4,17,41-50,Android,en,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,262,4,0,0,0,0,0,0,0,0
4,18,31-40,Android,en,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,434,7,0,0,0,0,0,0,0,0
5,19,11-20,Android,en,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,289.333333,5,0,0,0,0,0,0,0,0
2,7,51-60,Android,en,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,342.75,5.75,0,0,0,0,0,0,0,0
5,0,31-40,iOS,he,'Apple ',2,m.facebook.com,referral,Social,(none),MOBILE_WEB,68,6,1,0,0,0,0,0,0,0
1,6,51-60,Android,he,'LG ',1,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
4,9,11-20,iOS,he,'Apple ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,768,7,0,0,0,0,0,0,0,0
4,15,01-10,iOS,he,'Apple ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,546.5,5.5,0,0,0,0,0,0,0,0
