@relation R_data_frame

@attribute WeekDay {1,2,3,4,5,6,7}
@attribute Hour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute MinuteRange {01-10,11-20,21-30,31-40,41-50,51-60}
@attribute operatingSystem {'(not set)',Android,BlackBerry,Linux,Macintosh,Windows,'Windows Phone',iOS}
@attribute language {ag,ar,ay,az,bg,ca,cs,da,de,el,en,es,fi,fr,he,hu,il,is,it,iw,ja,ka,ko,lt,lv,nb,nl,pl,pt,ro,ru,sk,sv,th,tr,uk,un,vi,zh,zz}
@attribute MobileDeviceManuf {'(not ','Acer ','Akai ','Alcatel ','Amazon ','Amlogic ','Amoi ','Ampe ','AneWish ','Apple ','Archos ','Asus ','BLU ','BLUBOO ','BQ ','BlackBerry ','Blackview ','Boway ','CAT ','China ','Chuwi ','Coolpad ','Crosscall ','Cube ','Cubot ','DNS ','DOOGEE ','Dell ','Dialog ','ECOO ','Elephone ','Eny ','Eton ','Evolio ','FREETEL ','Fairphone ','Feiteng ','Fly ','GSmart ','GTab ','Gigabyte ','Gionee ','Google ','HOMTOM ','HP ','HTC ','HTM ','Hisense ','Huawei ','INUI ','Icemobile ','InFocus ','Infinix ','Infotmic ','Insignia ','Intex ','JXD ','Jiake ','Jiayu ','Jintian ','Karbonn ','Kenxinda ','Kingzone ','Kyocera ','LG ','LGG ','LYF ','Laude ','Lava ','LeEco ','LeTV ','Leagoo ','Legend ','Lenovo ','MXIII ','Maxon ','MediaTek ','Meizu ','Mercury ','Micromax ','Microsoft ','Minix ','Mio ','Mlais ','More ','Motorola ','Mozilla ','Nextbit ','Nokia ','Nomi ','OPPO ','Odys ','OnePlus ','Oukitel ','Ourspop ','Pantech ','Philips ','Posh ','Prestigio ','QMobile ','RCA ','Reeder ','Rivo ','SFR ','Samsung ','Sharp ','Silverline ','Siswoo ','Solotab ','Sonim ','Sony ','SonyEricsson ','Spice ','Star ','Sunsky ','Swipe ','Symphony ','Tagital ','Teclast ','Tecno ','ThL ','Tienhe ','Timing ','Toshiba ','Tronfy ','Turkcell ','UMI ','UTOK ','Ubro ','Ulefone ','Vernee ','ViewSonic ','Vivo ','Vodafone ','Wiko ','Wileyfox ','Xiaomi ','Xolo ','Yezz ','ZIDOO ','ZOPO ','ZTE ','Zoomtak ','iDROID ','iNew ','iRulu ','vkworld '}
@attribute VisitNumberGroup {1,11-20,2,21-50,3,4-5,51+,6-10}
@attribute Source {(direct),'(not set)',10.0.0.2:8880,1900SMS,192.168.0.253,192.168.39.3,2net.co.il,4mama.co.il,AdExpired,AdPublished,AndroidApp,FACEBOOK,Facebook,IphoneApp,Mail,Mail_deleted_by_user,Mail_deleted_by_user_NO_CONTANT,SendToFriend,StarredAds,UpgradeAd,Viber,Walla,Whatsapp,Win8App,'Yad1 Lead Confirmation',ad.co.il,api-mail.walla.co.il,aprent.co.il,auto1.co.il,beinisrael.com,bekaloot.co.il,bing,bladna.co.il,blove.co.il,buatnadlan.com,camp.lease4u.co.il,cannamarket.co.il,car,carsforum.co.il,catalog.orbita.co.il,classicar.co.il,clipboard,cp.teensafe.com,dalili.net,daliluk.com,digitalcard1.co.il,divur_nadlan,duckduckgo.com,easyexpat.com,expat.com,ezba,facebook,facebookshar,forummotor.israelinfo.co.il,fullgaz.co.il,fwportal.haifa.ac.il,g1948.com,galileasing.co.il,gdeil.hit.gemius.pl,gimzo.org.il,go.mail.ru,goldabar.co.il,google,google.co.il,haslik.co.il,hasolidit.com,heshemoto.co.il,hiside.co.il,ic.autocenter.co.il,icon_cafe,icon_link4u,icon_netex,israelbody.com,jeepolog.com,kafe,kafe.co.il,keshet,kik.com,kranot.org.il,l.facebook.com,lainyan.co.il,link4u.co.il,links.zahav.ru,ljpoisk.ru,lm.facebook.com,login_for_traders,m.auto.co.il,m.bizportal.co.il,m.calcalist.co.il,m.cellcom.co.il,m.facebook.com,m.vk.com,m.zap.co.il,m44.co.il,mail.google.com,mail_ad_deleted_by_user_empty,mail_ad_exposed,mail_pag_tokef,mail_to_advertiser,makers.co.il,metasearch.co.il,mini-sites.net,mls.nadlanone.co.il,mob.co.il,mobile.mako.co.il,mobileapp.mako.co.il,motoscooter.co.il,myactivity.google.com,mysearch.com,nbn.org.il,netex.co.il,newmail.012.net.il,noblockme.ru,ntgroup.co.il,omm.co.il,optimize.google.com,outlook.live.com,pandoor.co.il,parpar.net,pleasing.shlomo.co.il,portal.mobilebackup.biz,portelo.co.il,publicators.com,qa.yad2.co.il,re_facebook,rusisrael.livejournal.com,safe.partner.net.il,sales.albar.co.il,sce-ac.co.il,search-il.com,search.abclauncher.com,search.clearch.org,searchit.co.il,searchmobileonline.com,sharabi.co.il,sheav.org,sova.co.il,start,start.co.il,strauss-water-campaign.co.il,t.co,tabletstart.lenovo.com,tiuli.com,toyota.co.il,tpc.googlesyndication.com,translate.googleusercontent.com,use.co.il,uzit.co.il,vagit.co.il,walla.co.il,walla_component,walla_iframe,web01an.apps-search.com,web02as.apps-search.com,wikizona.org,yad2,yad2.pitchonlev.org.il,yahoo,yandex,yesplanet.co.il,ynet.co.il,zetov.info,zooloo.co.il}
@attribute Medium {(none),'(not set)',Banner,Chat,Logo_main,POSTS,Yad1_share,alert,app,baner,content,cpc,email,fbfeed,index,kafe,kniut,left,link,luhot_kniut_yad2,luhot_yad1,luhot_yad2,mail_add,mail_opinion_car,mail_opinion_nadlan,mehapsim_yad2,organic,popular_yad2,position,post,referral,sargel,share,shimushi_yad2,to_friend,walla_ads,yad1_re_facebook,yad2,yad2_cars,yad2_nadlan_rent,yad2_nadlan_sale,yad2_second_hand}
@attribute channelGrouping {(Other),Direct,Display,Email,'Organic Search','Paid Search',Referral,Social}
@attribute campaign {(none),'(not set)',1900SMS,AdExpired,AdNotPublished,AdPublished,Androidapp-Yad1,Androidapp-editAd,App,Area,Iphoneapp-editAd,Neighbors,Netex_icons,Private,SendToFriend,StarredAds,ToAdFromMyYad2,UpgradeAd_CarPrivate,Yad1,'Yad1 - חברות בניה','Yad1 Lead Confirmation','Yad1- דירות ערים','Yad1- פרוייקטים ערים','Yad2 - חיפוש על מפה - Display Remarketing','Yad2 - מדד הנדל\"ן - דיספליי - Affinity','Yad2 - מדד הנדל\"ן מתחרים','Yad2 - מוצרים יד2 שנייה','Yad2 - מחירון רכב - דיספליי - Affinity','Yad2 - מחירון רכב שוטף','Yad2 - נדל\"ן להשכרה','Yad2 - רכבים יד2','Yad2 - Brand E','Yad2 - Brand+Product','Yad2 - Business for Sale - Search','Yad2 - Tadmit 2016 - GDN Affinity - All','Yad2 - Tadmit 2016 - GDN In-market - All','Yad2 - Tadmit 2016 - GDN Topics - All','Yad2 - Tadmit 2016 - GDN Topics - General',Yad2-in-kafe,campaign,for_sale,hotPic,hotPic?ref=fb,innerdetails,kafe,kafe_icons,link,link4u,m-ToAd,main_street,main_yad2,map,more,more?utm_medium=content,nadlan_sale,newpricelist,otherVerticals,postim,privatearea,start_icons,walla_home_new,walla_inner,yad1,'yad1 - מתחרים',yad2_gadStein,yad2alerts}
@attribute platform {DESKTOP_WEB,MOBILE_APP_ANDROID,MOBILE_APP_IOS,MOBILE_WEB}
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar {0,1}
@attribute isFeedNadlan {0,1}
@attribute isFeedSecondHand {0,1}
@attribute isNadlanRoomsFilter {0,1}
@attribute isNadlanPriceFilter {0,1}
@attribute isNadlanShowPhone {0,1}
@attribute isNadlanCallSeller {0,1}
@attribute Success {0,1}

@data
5,16,11-20,Android,he,'Huawei ',6-10,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1880,77,0,1,0,1,0,0,0,0
7,17,21-30,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,175.7,5.2,1,0,0,0,0,0,0,0
3,18,31-40,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,0,1,0,0,0,0,0,0,0,0
4,22,31-40,iOS,he,'Apple ',21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,255,9,0,1,0,0,0,0,0,0
1,4,41-50,Android,ar,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,762.176471,17,1,0,0,0,0,0,0,0
3,15,21-30,Android,he,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,194.344828,4.103448,0,0,0,0,0,0,0,0
7,21,51-60,Android,he,'Samsung ',2,google,organic,'Organic Search',(none),MOBILE_WEB,447.5,12.5,0,0,0,0,0,0,0,0
7,13,41-50,iOS,he,'Apple ',21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,872,17,1,0,0,0,0,0,0,0
7,20,41-50,Android,he,'(not ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,0,1,0,0,0,0,0,0,0,0
2,18,11-20,Android,he,'Samsung ',1,google,organic,'Organic Search',(none),MOBILE_WEB,166,7,0,0,0,0,0,0,0,0
5,23,31-40,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,523.5,5,0,0,0,0,0,0,0,0
1,20,41-50,iOS,en,'Apple ',6-10,facebook,share,(Other),ToAdFromMyYad2,MOBILE_WEB,134,1,0,0,0,0,0,0,0,0
1,6,01-10,iOS,ru,'Apple ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,71,2,0,1,0,0,0,0,0,0
1,3,41-50,Android,he,'LG ',51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,195.636364,13.454545,0,0,0,0,0,0,0,0
4,16,01-10,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,1289.5,43,0,1,0,0,0,1,1,0
6,7,21-30,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,149.25,5.25,0,0,0,0,0,0,0,0
7,17,41-50,Android,he,'LG ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,1560,19,1,0,0,0,0,0,0,0
1,19,41-50,Android,en,'Google ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,32,1,0,0,0,0,0,0,0,0
1,21,01-10,Android,he,'LG ',1,google,organic,'Organic Search',(none),MOBILE_WEB,596,12,0,1,0,0,0,0,0,0
1,11,31-40,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
7,12,41-50,Android,en,'Google ',2,(direct),(none),Direct,(none),MOBILE_WEB,85,2,0,0,0,0,0,0,0,0
4,13,31-40,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_WEB,426,11.5,0,0,0,0,0,0,0,0
4,10,11-20,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,625,2,0,0,0,0,0,0,0,0
5,12,11-20,Android,he,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_WEB,30.75,6.25,0,0,0,0,0,0,0,0
1,14,31-40,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,1727.666667,23.333333,0,0,0,0,0,0,0,0
6,18,11-20,Android,ar,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
6,18,31-40,Android,he,'Samsung ',3,(direct),(none),Direct,(none),MOBILE_WEB,177,5,0,0,0,0,0,0,0,0
1,17,31-40,Android,he,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,502.5,27,1,0,0,0,0,0,0,0
2,20,31-40,iOS,he,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,139,5,0,0,0,0,0,0,0,0
1,13,31-40,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,343.6,9.6,0,1,0,1,0,0,0,0
5,11,01-10,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,601.272727,13,1,0,0,0,0,0,0,0
4,19,51-60,Android,he,'Huawei ',2,m.facebook.com,referral,Social,(none),MOBILE_WEB,6.5,0.5,0,0,0,0,0,0,0,0
3,18,51-60,iOS,en,'Apple ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,895.4,12,0,1,0,0,0,0,0,0
4,21,01-10,iOS,he,'Apple ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,1744,34.5,1,0,0,0,0,0,0,0
7,8,41-50,iOS,ar,'Apple ',6-10,1900SMS,link,(Other),1900SMS,MOBILE_WEB,616.111111,16.111111,1,0,0,0,0,0,0,0
5,15,21-30,iOS,en,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,204,2,0,1,0,0,0,0,0,0
2,11,01-10,iOS,he,'Apple ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,740,8.75,0,1,0,0,0,0,0,0
4,17,21-30,iOS,he,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,187,10,0,0,0,0,0,0,0,0
6,10,41-50,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,22,3,0,0,0,0,0,0,0,0
5,19,11-20,Android,en,'Samsung ',11-20,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,145,2,0,0,0,0,0,0,0,0
7,22,11-20,iOS,he,'Apple ',11-20,(direct),(none),Direct,(none),MOBILE_APP_IOS,12.5,1.5,0,0,0,0,0,0,0,0
5,18,11-20,iOS,he,'Apple ',3,(direct),(none),Direct,(none),MOBILE_WEB,226,6.333333,0,0,0,0,0,0,0,0
5,12,31-40,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
6,2,41-50,Android,he,'Gionee ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,335.375,5.625,1,0,0,0,0,0,0,0
2,16,11-20,Android,ru,'Samsung ',6-10,Whatsapp,'(not set)',(Other),m-ToAd,MOBILE_WEB,523.5,4,0,0,0,0,0,0,0,0
2,20,11-20,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,756,26.222222,1,0,0,0,0,0,0,0
5,8,01-10,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,37,3,0,0,0,0,0,0,0,0
4,12,41-50,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,890.75,38.5,1,0,0,0,0,0,0,0
7,15,31-40,Android,he,'Xiaomi ',4-5,google,organic,'Organic Search',(none),MOBILE_WEB,1098,11,0,0,0,0,0,0,0,0
4,20,41-50,iOS,he,'Apple ',3,google,organic,'Organic Search',(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
6,23,21-30,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,348.8,14.6,1,0,0,0,0,0,0,0
3,15,31-40,iOS,he,'Apple ',4-5,google,organic,'Organic Search',(none),MOBILE_WEB,1395,53,1,0,0,0,0,0,0,0
5,19,41-50,Android,ar,'Samsung ',51+,google,cpc,'Paid Search','Yad2 - Brand E',MOBILE_WEB,672.809524,11.619048,1,0,0,0,0,0,0,0
