@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
3,20,41-50,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,363,4,0,0,0,0,0,0,0,1
6,9,31-40,Android,en,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,78,2,0,0,0,0,0,0,0,1
7,10,51-60,Android,he,'Google ',1,(direct),(none),Direct,(none),MOBILE_WEB,58,3,0,0,0,0,0,0,0,1
7,12,01-10,Android,he,'Google ',2,(direct),(none),Direct,(none),MOBILE_WEB,122.5,4.5,0,0,0,0,0,0,0,1
7,13,31-40,Android,en,'(not ',1,(direct),(none),Direct,(none),MOBILE_WEB,783,21,0,0,0,0,0,0,0,1
6,11,31-40,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,76,3,0,0,0,0,0,0,0,1
2,16,21-30,iOS,ru,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,774,10,0,0,0,0,0,0,0,1
6,13,11-20,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,364,4,0,0,0,0,0,0,0,1
5,8,11-20,Android,he,'LG ',3,(direct),(none),Direct,(none),MOBILE_WEB,120.5,6.5,0,0,0,0,0,0,0,1
6,18,41-50,Android,he,'Samsung ',4-5,google,organic,'Organic Search',(none),MOBILE_WEB,234,7,0,0,0,0,0,0,0,1
1,6,31-40,Android,he,'Samsung ',6-10,google,cpc,'Paid Search','yad1 - מתחרים',MOBILE_WEB,295.666667,9.333333,0,0,0,0,0,0,0,1
1,9,51-60,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,459.8,8,0,0,0,0,0,0,0,1
1,10,51-60,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,933.666667,10.666667,0,0,0,0,0,0,0,1
4,21,31-40,Android,he,'Huawei ',2,(direct),(none),Direct,(none),MOBILE_WEB,142,3,0,0,0,0,0,0,0,1
1,10,31-40,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,151.333333,5.333333,0,0,0,0,0,0,0,1
1,19,21-30,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,1002,3,0,0,0,0,0,0,0,1
4,10,21-30,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,1842,5,0,0,0,0,0,0,0,1
1,21,21-30,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,58,3,0,0,0,0,0,0,0,1
6,7,11-20,iOS,he,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,882.5,15,0,0,0,0,0,0,0,1
1,7,21-30,Android,he,'LG ',3,google,organic,'Organic Search',(none),MOBILE_WEB,301.5,2.5,0,0,0,0,0,0,0,1
7,21,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,163,4,0,0,0,0,0,0,0,1
6,13,11-20,Android,he,'(not ',1,google,organic,'Organic Search',(none),MOBILE_WEB,874,22,0,1,0,0,0,0,0,1
7,20,11-20,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,40,2,0,0,0,0,0,0,0,1
7,9,31-40,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,1816,31,0,0,0,0,0,0,0,1
2,10,01-10,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,1249,26,0,1,0,0,0,0,0,1
4,9,21-30,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,797,22,0,0,0,0,0,0,0,1
4,11,41-50,iOS,en,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,3109,17,0,0,0,0,0,0,0,1
7,4,01-10,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,1299,8,0,0,0,0,0,0,0,1
5,19,41-50,Android,he,'ZTE ',1,(direct),(none),Direct,(none),MOBILE_WEB,1467,33,0,0,0,0,0,0,0,1
6,6,31-40,Android,he,'ZTE ',2,(direct),(none),Direct,(none),MOBILE_WEB,828.5,20,0,0,0,0,0,0,0,1
7,8,21-30,Android,en,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,27,2,0,0,0,0,0,0,0,1
3,8,11-20,iOS,he,'Apple ',11-20,yahoo,organic,'Organic Search',(none),MOBILE_WEB,1614,26.5,0,1,0,0,0,1,0,1
4,19,01-10,Android,en,'Sony ',4-5,google,organic,'Organic Search',(none),MOBILE_WEB,41,2,0,0,0,0,0,0,0,1
4,18,41-50,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,665,19,0,1,0,0,0,0,0,1
1,15,41-50,Android,he,'(not ',3,(direct),(none),Direct,(none),MOBILE_WEB,1307,8,0,0,0,0,0,0,0,1
1,15,01-10,iOS,he,'Apple ',3,(direct),(none),Direct,(none),MOBILE_WEB,364,8,0,0,0,0,0,0,0,1
2,3,51-60,iOS,he,'Apple ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,185,5,0,0,0,0,0,0,0,1
4,12,51-60,Android,he,'LG ',2,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,1
4,21,01-10,Android,he,'LG ',3,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,1
4,23,41-50,Android,he,'LG ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,1
1,18,21-30,Android,he,'Google ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,280,12,0,0,0,0,0,0,0,1
3,14,51-60,Android,ru,'Samsung ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,364,8,0,0,0,0,0,0,0,1
7,22,31-40,Android,he,'Samsung ',21-50,search.clearch.org,referral,Referral,(none),MOBILE_WEB,725,15.5,0,1,0,0,0,0,0,1
1,14,11-20,iOS,he,'Apple ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,4482,61,0,1,0,0,0,1,1,1
6,15,01-10,iOS,en,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,336,2,0,0,0,0,0,0,0,1
6,18,51-60,iOS,en,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,168,1.5,0,0,0,0,0,0,0,1
